_id,workPid,dataPid
0.S2229.XXII,https://www.museabrugge.be/collection/work/id/0_S2229_XXII,https://www.museabrugge.be/collection/work/data/0_S2229_XXII
0.S2230.XIV,https://www.museabrugge.be/collection/work/id/0_S2230_XIV,https://www.museabrugge.be/collection/work/data/0_S2230_XIV
0.S2232.XXI,https://www.museabrugge.be/collection/work/id/0_S2232_XXI,https://www.museabrugge.be/collection/work/data/0_S2232_XXI
0.S2236a.VI,https://www.museabrugge.be/collection/work/id/0_S2236a_VI,https://www.museabrugge.be/collection/work/data/0_S2236a_VI
0.S2237.VII,https://www.museabrugge.be/collection/work/id/0_S2237_VII,https://www.museabrugge.be/collection/work/data/0_S2237_VII
0.S2238.VII,https://www.museabrugge.be/collection/work/id/0_S2238_VII,https://www.museabrugge.be/collection/work/data/0_S2238_VII
0.S2239.XXI,https://www.museabrugge.be/collection/work/id/0_S2239_XXI,https://www.museabrugge.be/collection/work/data/0_S2239_XXI
0.S2239a.XXI,https://www.museabrugge.be/collection/work/id/0_S2239a_XXI,https://www.museabrugge.be/collection/work/data/0_S2239a_XXI
0.S2239b.XXI,https://www.museabrugge.be/collection/work/id/0_S2239b_XXI,https://www.museabrugge.be/collection/work/data/0_S2239b_XXI
0.S2240.XXI,https://www.museabrugge.be/collection/work/id/0_S2240_XXI,https://www.museabrugge.be/collection/work/data/0_S2240_XXI
0.S2241.XI,https://www.museabrugge.be/collection/work/id/0_S2241_XI,https://www.museabrugge.be/collection/work/data/0_S2241_XI
0.S2241a.XI,https://www.museabrugge.be/collection/work/id/0_S2241a_XI,https://www.museabrugge.be/collection/work/data/0_S2241a_XI
0.S2241b.XI,https://www.museabrugge.be/collection/work/id/0_S2241b_XI,https://www.museabrugge.be/collection/work/data/0_S2241b_XI
0.S2242.XXVI,https://www.museabrugge.be/collection/work/id/0_S2242_XXVI,https://www.museabrugge.be/collection/work/data/0_S2242_XXVI
0.S2243.XXII,https://www.museabrugge.be/collection/work/id/0_S2243_XXII,https://www.museabrugge.be/collection/work/data/0_S2243_XXII
0.S2244.XXVI,https://www.museabrugge.be/collection/work/id/0_S2244_XXVI,https://www.museabrugge.be/collection/work/data/0_S2244_XXVI
0.SJ0068a.XI,https://www.museabrugge.be/collection/work/id/0_SJ0068a_XI,https://www.museabrugge.be/collection/work/data/0_SJ0068a_XI
0000.GRO0021.I,https://www.museabrugge.be/collection/work/id/0000_GRO0021_I,https://www.museabrugge.be/collection/work/data/0000_GRO0021_I
0000.GRO0405.I,https://www.museabrugge.be/collection/work/id/0000_GRO0405_I,https://www.museabrugge.be/collection/work/data/0000_GRO0405_I
0000.GRO0575.III,https://www.museabrugge.be/collection/work/id/0000_GRO0575_III,https://www.museabrugge.be/collection/work/data/0000_GRO0575_III
0000.GRO1523.III,https://www.museabrugge.be/collection/work/id/0000_GRO1523_III,https://www.museabrugge.be/collection/work/data/0000_GRO1523_III
0000.GRO1632.I,https://www.museabrugge.be/collection/work/id/0000_GRO1632_I,https://www.museabrugge.be/collection/work/data/0000_GRO1632_I
0000.GRO1678.01.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_01_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_01_III
0000.GRO1678.02.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_02_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_02_III
0000.GRO1678.03.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_03_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_03_III
0000.GRO1678.04.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_04_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_04_III
0000.GRO1678.05.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_05_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_05_III
0000.GRO1678.06.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_06_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_06_III
0000.GRO1678.07.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_07_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_07_III
0000.GRO1678.08.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_08_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_08_III
0000.GRO1678.09.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_09_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_09_III
0000.GRO1678.10.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_10_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_10_III
0000.GRO1678.11.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_11_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_11_III
0000.GRO1678.12.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_12_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_12_III
0000.GRO1678.13.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_13_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_13_III
0000.GRO1678.14.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_14_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_14_III
0000.GRO1678.15.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_15_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_15_III
0000.GRO1678.16.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_16_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_16_III
0000.GRO1678.17.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_17_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_17_III
0000.GRO1678.18.III,https://www.museabrugge.be/collection/work/id/0000_GRO1678_18_III,https://www.museabrugge.be/collection/work/data/0000_GRO1678_18_III
