_id,workPid,dataPid
1932-DA,https://mskgent.be/collection/work/id/1932-DA,https://mskgent.be/collection/work/data/1932-DA
1949-AL-383,https://mskgent.be/collection/work/id/1949-AL-383,https://mskgent.be/collection/work/data/1949-AL-383
1985-A-10,https://mskgent.be/collection/work/id/1985-A-10,https://mskgent.be/collection/work/data/1985-A-10
1903-NN,https://mskgent.be/collection/work/id/1903-NN,https://mskgent.be/collection/work/data/1903-NN
1949-AL-233,https://mskgent.be/collection/work/id/1949-AL-233,https://mskgent.be/collection/work/data/1949-AL-233
1942-J,https://mskgent.be/collection/work/id/1942-J,https://mskgent.be/collection/work/data/1942-J
1933-I,https://mskgent.be/collection/work/id/1933-I,https://mskgent.be/collection/work/data/1933-I
1874-F,https://mskgent.be/collection/work/id/1874-F,https://mskgent.be/collection/work/data/1874-F
1981-O-3,https://mskgent.be/collection/work/id/1981-O-3,https://mskgent.be/collection/work/data/1981-O-3
1973-Z,https://mskgent.be/collection/work/id/1973-Z,https://mskgent.be/collection/work/data/1973-Z
1994-W,https://mskgent.be/collection/work/id/1994-W,https://mskgent.be/collection/work/data/1994-W
1967-R-6,https://mskgent.be/collection/work/id/1967-R-6,https://mskgent.be/collection/work/data/1967-R-6
1911-H,https://mskgent.be/collection/work/id/1911-H,https://mskgent.be/collection/work/data/1911-H
1923-AD,https://mskgent.be/collection/work/id/1923-AD,https://mskgent.be/collection/work/data/1923-AD
1911-GX-1,https://mskgent.be/collection/work/id/1911-GX-1,https://mskgent.be/collection/work/data/1911-GX-1
2001-J,https://mskgent.be/collection/work/id/2001-J,https://mskgent.be/collection/work/data/2001-J
S-120,https://mskgent.be/collection/work/id/S-120,https://mskgent.be/collection/work/data/S-120
1941-E-4,https://mskgent.be/collection/work/id/1941-E-4,https://mskgent.be/collection/work/data/1941-E-4
2014-DE,https://mskgent.be/collection/work/id/2014-DE,https://mskgent.be/collection/work/data/2014-DE
1865-G,https://mskgent.be/collection/work/id/1865-G,https://mskgent.be/collection/work/data/1865-G
1932-EF,https://mskgent.be/collection/work/id/1932-EF,https://mskgent.be/collection/work/data/1932-EF
1998-B-96,https://mskgent.be/collection/work/id/1998-B-96,https://mskgent.be/collection/work/data/1998-B-96
